,level_0,index,input,label
53,53,9370,"We always try them on in a store before to make sure the size is correct.  Converse do run a bit different but the ones we received are spot on the retail store in size and quality.

They do have WAY to MUCH on the size choice!  fix that people",clothing
54,54,4914,Awesome deal. Great experience.,clothing
55,55,3806,"Nice shoes- They're Converse, so they're exactly what you'd expect. Came quickly and was happy with the price.",clothing
56,56,6987,"Shoes run half size larger,  but decided to keep them.",clothing
57,57,2494,Classic shoe.,clothing
58,58,7066,"Love the shoes but they are way too big and I'm not having any luck exchanging them at this point.... or even returning them... maybe this will be resolved, I hope so.",clothing
59,59,4416,"Buying shoes online can go either way; thankfully, these were perfect.",clothing
60,60,2089,I had to return the shoes because it was too large. I will reorder in a  smaller size.,clothing
61,61,1509,Amazingly comfortable shoes for cooks!!!!,clothing
62,62,7743,"They're Chucks, they're perfect.",clothing
63,63,7536,classic chucks,clothing
64,64,7101,"I've worn Chucks for years so I knew what to expect - though I've never owned a pair of pink or pink-like colored shoes in this style. I ordered the Pink Sapphire and double checked my choice - something I always do with these ""multiple choice"" listings.

The shoes arrived rather quickly - however - even before I pulled back the last layer of packaging tissue in the shoe box I could tell they were the wrong color. (Too dark to be pink.) I was sent the Eggplant selection by mistake - or at least I'm hoping that's the case. The colors couldn't be more different. One is supposedly a bright raspberry like pink - while the eggplant is very much the color of the vegetable. A dark rich purple (nearly black in some light.) Luckily I liked the color enough to just keep the shoes. But be mindful when placing your order that you might end up with the ole switch-a-roo pulled on you.",clothing
65,65,5768,"Received in excellent condition, just like you would in a store. Perfect experience.",clothing
66,66,2094,Super comfortable.  Will be purchasing a different color soon.,clothing
67,67,8893,"I was a tomboy and this has such great memories for me. They fit exactly how I remember, PERFECTLY!!",clothing
68,68,9795,"My daughter loves the shoes, especially the color but, they were too big.  We are hoping to exchange for the right size.",clothing
69,69,6296,Good shoes but they ran too large for my foot - had to return them,clothing
70,70,6693,"I've always loved Converse Low Cuts, especially for riding bike and walking around town. These fit great, are narrow enough to ride my road bike with, comfortable enough to walk in, and look good. I didn't notice any of the defects some other reviewers mentioned, so I guess I got a great pair!",clothing
71,71,6375,"Love them!  If you have wider feet, these may not be for you.  I am female, and i wear a size 7 in women's, but ordered a 5. Fit very well, except they could be a little wider.",clothing
72,72,4251,Daughter loves her chucks,clothing
73,73,2431,granddaughter loves them,clothing
74,74,6895,LOVE- fit great look great,clothing
75,75,8854,"Shoes are sweet looking. I've been wanting to buy these for awhile now. But! When I opened up the box I was a little disappointed to see that one of the shoes was a little dirty...not enough to the point where I'm going to go through the effort to return them, but still slightly disappointed. You would think if I'm going to buy new shoes that they would be new and clean looking. But otherwise, they fit pretty nicely and they're pretty good looking for the most part.",clothing
76,76,8272,Absolutely love,clothing
77,77,9845,"Love these bags, have several colors & sizes!",clothing
78,78,9641,Too large,clothing
79,79,1224,"No holes, as described. My son was thrilled to have a ""Buzz jet pack""!",clothing
80,80,3849,"The one thing that stinks about converse is that they are actually unisex. So I got a 5 and they are still a little too big, but they look cute and are machine washable which is always a bonus!",clothing
81,81,654,"This is one of the worst things I have ever received from Amazon.  It's a joke.  It's basically a stick with like 5 twigs attached to the bottom with a string.  If I gave this to my 5 year old as part of her Halloween costume, I'm not sure if she would laugh or cry.  Definitely sending it back.",clothing
82,82,912,Very beautifull  My 3 year son loved.  But came missing a button,clothing
83,83,3618,I love them!!,clothing
84,84,5637,I got the wrong size,clothing
85,85,1633,Love this costume.  Fits well and is exactly what I was looking for.  I was surprised how comfortable it is as I expect to be wearing this a good 6 hours.  Great price to boot!!,clothing
86,86,1301,The wings look great when you blow them up. There were a little to big for what we needed. The wings were easy to fill but once they were filled the jet pack was to big in the middle. So wearing them long made my sons back sore  the straps were way way to small for my 3 yr old. Makes a Great Wall mount for a toy story theme room.,clothing
87,87,3006,Ok.,clothing
88,88,116,"<div id=""video-block-R6MHW74MLF503"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/C1bkKLhK-jS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/7131KAkpA2S.png"" class=""video-slate-img-url"">&nbsp;This is a very soft shirt, and the design is great.

There it is the regular shirt, and there are the stitched slits on the side of the breast parts, that are stretchy enough you open up for feeding your little one.

The longer pieces of material that are used to tie whatever way you want to tie them are also very stretchy, and perfect for breastfeeding mothers, just in case you have a little bit of a milk leakage , we all know that happens.

I like the shirt, I think it's perfect for breastfeeding mothers, or for pregnant women who need a little bit of comfort because this shirt isn't tight, it won't irritate your delicate skin.

Promotional or discounted product provided to review.",clothing
89,89,6022,They fit a little bit large,clothing
90,90,6475,What more can you say about Chuck Taylor's? They are a classic show that goes with any style really. Best part is breaking them in.,clothing
91,91,4824,The very first time these shoes got wet the letters on the Converse All Star have smudged.  There is no good reason for this to occur after a slight bout with water.  NOT HAPPY!,clothing
92,92,4613,Classic. Fits in with many different outfits.,clothing
93,93,7283,My daughter loves them!,clothing
94,94,8028,i like it!!!,clothing
95,95,7236,"A gift for my wife. She loves Converse, these are no exception.",clothing
96,96,2348,I ordered a size 5 thinking it was a womens size 5.  Shoes are a universal size 5 which is really a size 7.  I should have been more careful when ordering.  Posting for awareness.  Im sure the shoes are fine.,clothing
97,97,2491,"Runs large for sure, but I knew this going in since I tried it on in store first.  I normally wear a 9.5-10 size depending on the shoe/brand but this shoe fits me in size 8.",clothing
98,98,8169,"Haven't worn them often, but really like them so far.",clothing
99,99,1448,"I ordered this costume for Halloween. It fit nicely, but I am a woman 5'7"" 134lbs. I'm not sure how this would fit a man!",clothing
100,100,236,Very soft- heavy fabric- not really meant for those with a small waist(even with a baby) and huge breasts. I am a 34F and my breasts basically protrude out of the slit that's meant for breast feeding.,clothing
101,101,2384,"Yellow is more like the color its like a pale yellow, not so much natural white. I love my cons so i won't send them back, however I still feel like i want my dirty whites. One i need i suppose is more like an eggshell. Thanks",clothing
102,102,8222,"just like any other converse, it fits good",clothing
103,103,4520,Classic sneakers. Good quality. Fast shipping.,clothing
104,104,2187,dude...i bought these for a cosplay but since i own like 5 pairs of converse so i know that i would love these,clothing
105,105,9187,I was very pleased with the order and the shipping was as expected. Would def recommend to friends. thank you,clothing
106,106,4223,excellent buy,clothing
107,107,3678,Tgod certified,clothing
108,108,2277,My wife loves them.,clothing
109,109,7157,ordered the same size as previous purchases and they are a full inch bigger then the shoes we already have,clothing
110,110,5155,can't go wrong with a pair of chuck taylor's,clothing
111,111,5384,Bought these for our 16 year old granddaughter. She loves em!,clothing
112,112,1908,"I like that this is a very flexible costume as far as sizing. Seems to be good quality for a Halloween costume. The rope is not very long at least not as long as picture even with a thinner person.

The headpiece is weird, not forgiving to those with a lot of hair. The key is to tie it behind your neck and the slit will go up to where a high pony tail would be. But it is cheap.",clothing
113,113,7374,Great fit.,clothing
114,114,7491,My son loved these! They fit perfect on his feet. In my opinion they are good priced and they fit well,clothing
115,115,1367,Awesome costume got a lot of laughs!,clothing
116,116,6063,I love converse sneakers in general. They are very comfortable and great to wear with anything. The shipping was prompt and ahead of schedule.,clothing
117,117,6731,I think they just fit wrong because the mens are narrower than women's shoes. The seller was very prompt in replying and issuing a refund.,clothing
118,118,8364,"Too big for me, sold them to a friend.",clothing
119,119,9218,just what I expected,clothing
120,120,4118,Diasapponted they did not fit.,clothing
121,121,1867,I bought a size smaller then I thought I should buy because of the reviews and it fit perfectly. I received a lot of compliments. It photographed really good.,clothing
122,122,4729,Cheap copy,clothing
123,123,8190,Great Sneaker!,clothing
124,124,8170,Can't go wrong with Chuck Taylors. Love them.,clothing
125,125,6812,100% real Converse...get one half size smaller than you would normally for the right fit. I am a 10.5...ordered a 10.,clothing
126,126,7080,Exactly what I expected!,clothing
127,127,5575,"They look great, and fit very well. My only complaint is the quality is a bit lacking. A couple of the grommets (the metal rings the laces go through) came out/apart at random times shortly after I bought them.

Also, because these are canvas shoes, they are obviously not ideal for cold/wet weather. Snow is a no-go.

And sorry, Doctor, but you won't be kicking down any wooden doors in these.",clothing
128,128,7531,"If your a woman thinking of buying these, go ahead...Bought them for my friend, she loves them. She worn them for a trip down south where she was walking all the time, she said they were great. Converse has always been a good name, you won't be disappointed.",clothing
129,129,2916,Son loves these.  Will order again.,clothing
130,130,717,This JUST barely survived our production of the Wizard of Oz. It literally fell apart the day after we wrapped up our play.,clothing
131,131,6104,Great shoes. Bought them for the wife for squats and deads. Hold up well and the black look prett sharp.,clothing
132,132,4169,"My "" normal "" shoe size is 9.5 I ordered a converse 8.5 and fit perfectly !",clothing
133,133,4661,Excellent,clothing
134,134,5437,"These are my favorite shoes.. Wore them NEW on vacation to Europe and didn't have any blister issues, and we walked at least 7 miles a day.",clothing
135,135,1875,"Not as described. The ascot and arms are blue, not white. Now trying to find face paint to match as the white I already purchased won't work. The wig is made of yarn, I ordered a higher quality one.  I was surprised at the low quality of the costume as it is a licensed product. Very thin and not well made. The Velcro dots that close the ascot are marginally  attached. Pieces were scattered in the box, the plastic bag it should have been contained in was torn at multiple places. Had to be placed in the box that way as the shipping box was in perfect shape. Should have just sent it back, but time is running out for when I need it, so I will just improvise where I can.",clothing
136,136,7258,"Loved them!!
Perfect",clothing
137,137,6678,Some originals,clothing
138,138,2280,"It's a bit large for a 6 women's size. Kind of heavy for such a light looking shoe. With socks it's comfortable, without, not sure...right now not comfortable for longer walks, but perhaps I still need to wear it in (haven't worn it all that much)",clothing
139,139,904,"Not worth the money. The ears are small and floppy. I wasn't expecting great quality from a Halloween costume, but this didn't even meet my low expectations. I kept the dress for dressup. We bought a lamb tutu costume. I guess she didn't really look like a lamb, but at least it looked like a costume.",clothing
140,140,6573,"Adorable sneaker, good fit and accurate to size. Keep in mind this is based on the older style of footwear, before much consideration was given to arch support and footbed comfort. Overall, good fitting and too cute to pass up for a fun sneaker. Not recommended for full day support",clothing
141,141,2264,Great!,clothing
142,142,7488,"When the item arrived the shoes were the perfect size, fit great look great a,d the extra pair of laces is cool.",clothing
143,143,3888,Love the shoes but they seem to run large,clothing
144,144,1242,Product was as described!,clothing
145,145,8658,Everything was great  i even got them 2 days before I excepted!,clothing
146,146,4815,Swagggahhhhh,clothing
147,147,2437,Love the shoes came as advertised,clothing
148,148,5849,Nostalgic. Reminds me of my early days in Alabama.,clothing
149,149,7229,"I'm one of the nerds that wanted a pair of 10th Doctor Who shoes...and I'm really pleased with this purchase. My mom's cool enough that she knew I wanted them but knew I did my own research about where to buy them, so she gave me forty bucks and the go-ahead-mom-nod for my birthday present :)

First of all, never buy your first pair of converse offline unless you've tried them on in stores before. Yes, they're a thin material, yes, the sole is flat and not cushioned. Some people like the hi top style, and some people feel it digs into their ankles. They're converse. Some people love them, some people don't.

The ones I got were great. Brand-spankin' new, great color, real chucks, an extra pair of laces (which were red, and I find that a bit of an odd choice, but I really don't care). I wear a size 8.5 in women's and 6.5 in men's, and converse fit me very true to size, so that's what I ordered, and they're perfect. Some people seem to feel they run a bit slim, but that's why I urge you to try a pair on in stores, just for fit, before ordering your particular style/color off of any website.

I highly recommend the seller. I had no problems ordering or receiving, and the shoes came a few days before expected. Love these shoes <3",clothing
150,150,4670,"Uk, this is a gift, nothing know as of yet.",clothing
151,151,985,"For years I carried a Land's End Square Rigger, which at the time was a great canvas attache.
Got away from those because I wanted something classier, in leather.
After many years i realized that leather was heavy so went to get another one, but Land's End had changed and the reviews of the new bags turned me away.

Wanted something lightweight with loads of pockets, accessible from the top, with a handle as well as shoulder straps, with a rear slip pocket and could be stuffed without breaking the zipper.
Made a few mistakes along the way, and somehow came across this bag.

I like it more than my old Land's End bags.
There are two large pockets instead of the one, with access from the top for one and a flap cover for the other.
The flap can be easily opened with one hand while on the shoulder.
The organizational possibilities are outstanding due to the pocket arrangement and the number of them.
It's lightweight, not overly large, and can be stuffed without worry.
Can carry it by the handle without closing the flap cover.

It's not canvas, but I like the material, which should show less wear and tear in the long run.
Not crazy about the color, but can live with it.
Marking it down 1 star because of it.

Happy with the bag.",clothing
152,152,68,keeps u warm,clothing
153,153,6735,"A really attractive combination of materials, a nice alternative to 'white'. Using an arch support, I can wear these all day!",clothing
154,154,4243,"Very comfy, true to size, and a great navy color.",clothing
155,155,8013,Nice n comfort,clothing
156,156,3480,Wife has looking at these for a while so she went and tried them on at the store and ordered them here at a cheaper price.  Awesome!  Now I want a pair.,clothing
157,157,8808,They were just a little oversized but that means that I don't have to buy shoes for a long time ,clothing
158,158,2683,Love!!,clothing
159,159,3775,Beautifull,clothing
160,160,3832,"Love these shoes, I normally wear a size 11 in womens but in these I wear a 10.",clothing
161,161,8905,"Classic style, classic feel
Love these shoes! Bought them in black and white and it feels like it takes me back in time when I wear them. Looks great with leggings or jeans - just a little edgy style to make the best outfit and they are wonderfully comfortable!",clothing
162,162,7942,He normally wears a 9.5 or 10 so we ordered a 9.5 and they are about 1/2 a size too big but still fit comfortably enough to wear so we aren't going to send them back. He loves them!,clothing
163,163,681,"Cute, but the bristles fell off before it even made it to trick or treat.",clothing
164,164,5914,"I don't know if it is just my foot, bit it seemed like the right shoe was a lot larger.",clothing
165,165,7608,I didn't know these shoes. I an glad to have them,clothing
166,166,7649,Love them!,clothing
167,167,8537,"My daughter still loves Chuck Taylor's.  She had worn out her last black pair so I got her a navy pair for her birthday.  Chucks are not fancy but they are ok if you like the nostalgia factor.  My dad played high school basketball in those shoes and said they were a great improvement over what they'd had to play in before.  If you like the style, they're pretty durable; and although I think the whole line is a little over priced, I have two pairs myself.",clothing
168,168,8653,"I do love these shoes...after I bought some insoles for them.
Four stars because I have worn converse my whole life and this is the only pair that has made my back and body hurt after wearing them. I bought some insoles and all is fixed. Mostly.
Great fit though! Great shoes! Great sellers!",clothing
169,169,7039,A,clothing
170,170,8964,thees are awsome shoes,clothing
171,171,1377,Great with my costume :),clothing
172,172,108,"This is great!  My brother loves it, it keeps him really warm and toasty.  It's been a real winter in New England this year, and this was the best!",clothing
173,173,8789,Love them,clothing
174,174,4980,the size,clothing
175,175,1711,people thought i was a priest.,clothing
176,176,3530,Really good!!,clothing
177,177,6661,"Cheaply made, label says made in China.",clothing
178,178,9189,but i love them and it's hard to find a 5 US W,clothing
179,179,9474,Very cute but too large. My daughter is a 7.5 but in converse I usually get her size 8 and they fit great. Not sure what's up but I must return these.,clothing
180,180,3539,"My eighth-grade daughter will only wear the shoes. They are very expensive considering what they are made of and how simply they are made-they were designed in the 50s. But they are quality. Terrible arch support though, If you need that.",clothing
181,181,7693,Everything turned out perfect!,clothing
182,182,5219,"Arrived on time,way too big. Ordered 10 1/2 ,they said 10 1/2 more like a 12. Some reviews wondered about the authenticity,I do now as well. Are they made in america ? didn't check. Will just go to local shoe store,very disappointed. Wanted them for that weekend. Timely delivery,terrible fit.",clothing
183,183,3912,"I admit that I am not as diligent as getting sized for a bra as often as we women should be.  I needed a strapless bra for a friend's wedding and went into a lingerie store to get one.  The measured me and announced I was a 34DD.  WHAT?!  I have never been a Double anything.. much less a D.  I will admit that for about 5 milliseconds I had a mixture of shock, and a strange sense of pride, but I digress...

With the friend's wedding looming near, I headed back to a workout schedule that had long been abandoned.  I went to bootcamp and trampoline fitness class and within 3 seconds of starting squat jumps, I was mortified that my DDs were flying all over the place.  Oh yeah.. I forgot to get a new sports bra since my girls grew exponentially!

I searched high and low on the internet, and this bra topped many lists as the best for larger-busted women.  I was hesitant to pay $64 for a sports bra, but SOMETHING needed to be done!  Thankfully, Amazon is quick with delivery (seriously, ya'll - the Prime membership is TOTALLY worth it).

I received it quickly and the first thing I did was try it on.  I put my arms through, and thought ""There is no way this thing is going to close up!  There must have been a mistake... Did I get the right size? Should I have ordered the next size up?""

The truth is it just looks like it won't fit, but it will.  Hook the bottom 2 first, adjust the girls a bit, and it should be easier to hook up the others up the front.

After that done, I jumped around, did some squat jumps, some burpees, and any other exercise that I could think of that extremely embarrassed me only days before because of my old sports bra.  NO MOVEMENT WHATSOEVER.  I was amazed.

The true test, I thought, would be making it through a trampoline fitness class since we are literally jumping up and down in different ways for an hour straight.  I am so impressed with this bra!  I am definitely going to buy more!

Cliffs Notes version of this item review:
1) It's awesome!  Don't even think twice, just buy it.
2) Go to the Enell website to find your size.  I used their measurements and it fit perfectly
3) To put it on, don't freak out.  Start with the bottom 2 hooks, adjust the girls, and hook the others.  Ta-Da!  You're ready to run or jump or whatever it is you want to do without your girls flying all over the place",clothing
184,184,5756,"Bought these for powerlifting before upgrading to the Reebok Men's RCF Lite TR Training Shoe.

Biggest complaint is that they have poor grip on the soles. (That's why I upgraded to the Reebok's I previously mentioned)

Don't recommend these if you pull sumo on a deadlift platform that has slick wood.",clothing
185,185,5286,Runs alittle large. But great shoes!,clothing
186,186,8877,"Given as gift.  My stepson wanted Hi tops.  Was able to take to Kohl's and for 5 dollars more, trade in for high tops.",clothing
187,187,2850,"I read the chart and followed some of the comments posted, however the size was too small!",clothing
188,188,5455,Very comfortable! Good for weightlifting at gym also daily use.,clothing
189,189,6988,Totally Love them!!!,clothing
190,190,2001,"These shoes don't fit my foot at all, they are way to big and I will never in life buy converse from you people again!!!!!",clothing
191,191,9642,Awesome,clothing
192,192,4082,"Cool, brand but this Converse style does NOT have any arch support whatsoever.",clothing
193,193,1880,"This was great, fit good. It worked great for the wife as I wore the Jack Skelington outfit.",clothing
194,194,7294,"The sole of the my left shoe was warped on arrival.  It's not visually noticeable, but it makes a pop noise when walking around which can be annoying.",clothing
195,195,3080,I own several pairs of Converse but just had to have this color.  Very happy!!!,clothing
196,196,9849,"I have two, and have given several as gifts.  The extra small is a perfect purse size and can be worn on the back, side, or front..",clothing
197,197,4333,"tried it on in the store to make sure I got the right size, ordered online for less and just what i wanted",clothing
198,198,2171,I love these shoes the maroon is more purpley than I expected but still maroon and I still like it,clothing
199,199,8162,She loves them very comfortable after all day wear and walking.,clothing
200,0,9073,Great writer,books
201,1,643,"I bought this book to teach my 2 1/2 year old about trying and never giving up. It did exactly that, my son now understands the concepts of ""I think I can"". I read other reviews about it being outdated and pictures being old. Yes, that is probably true but I would say appreciate it as a classic because it is! Children can still relate to it whether the toys in the pictures are of wooden toys or modern gadgets.",books
202,2,3430,"I haven't read any of Coupland's other books, but I certainly will after reading Microserfs. This is fiction that tries to give the reader some kind of feeling for working in computers in the early 1990s. Geeks think and behave differently than most people, and Coupland and this is the first work of fiction I've read from the point of view of a geek. He gets into some interesting stuff with Bug having to define his own identity late in his life; this turns out to be a good thing, because if he wasn't gay then he could have kept going on in his life without ever having to evaluate himself as a sexual being, just being carried by a crappy inertia. An issue to which Coupland returns throughout the book is how now we have less free identity. In some neighborhoods every house is different, and kids playing hide and seek with their friends might have secret crevasses no one knows about. In other neighborhoods there are a handful of moulds for a house, they're all made out of the same material, and perhaps you get to choose what color the living room walls will be and whether you have hardwood floors or carpeting. Being able to follow an existing belief system takes a huge amount of mental burden off you. The writing is sprinkled with cute bon mots like, ""I don't even deserve the honor of calling myself carbon-based, let alone silicon-based-- maybe I'm based on one of those useless elements like boron that don't do anything."" Part of why I liked this book so much is probably because it's about a second phase of having to define yourself firmly as an adult in your late 20s or early 30s, after the initial phase of self definition that happens in adolescence (and perhaps another one in between in the early 20s), and I am myself in my late 20s...",books
203,3,7783,"I'm an avid fan of Crichton. After 8 of his books I'm quite familiar with his formula (a specially selected group of scientists exploit the exciting aspects of a new high technology before a disaster strikes i.e. Sphere, Jurassic Park, Timeline,etc.) Yet, this novel is just as thought provoking, if not more so! This is the first one I've read that makes computer science/algorithms the main tech (heck, there's even a snippet of source code), although it is heavily mixed in with evolutionary biology, and the result is astonishing but believable because it is applicable for the layperson. We live in a world of artificial intelligence and algorithms - social media, stock market automated trading, etc. They are designed to learn. It's not hard to imagine what craziness could happen to these systems if they behaved, well, exactly as designed!

This is not just a high concept, there is a lot of action - what a visually striking movie this would be! I am stuck with an image of a [SPOILER: billions of microscopic robots patterned to look like a human face flung to the far corners of a room, so that the room is textured with an animated human].

Read it as action, academia gone awry, a cautionary tale of ethics or all three - the book will stick with you.",books
204,4,4841,"What a fabulous series of books for a young Christian to read!!!! My son and I are both reading this books. I wanted to get into some CS Lewis to pursue more of his writings later in his life, but I instantly realized that my son would love these too - and he does!",books
205,5,3336,"This was my youngest son's favorite book when he was a child. He is 36....Our grand daughter came to visit, his niece. She had me read it to her 3 times in one night. The book belongs to my son, who lives in Vegas.....I mailed it to him when his own son was born. I ordered another one so I would have one to read to her when she is here......It is now her favorite book!!! She loves reading it to Nana......Brings back a lot of memories",books
206,6,57,What A Fun Book for the Grandkids. I'm adding to their Dr. Suess library. A big help for the ones who are learning to read.,books
207,7,1896,"This is the best sales manual ever written, thank Sam I Am, you taught me that it takes perseverance to succeed.",books
208,8,7773,this is a great book it got me turned on to the author Michael Crichton who wrote the book Jurassic park and its sequel the list world,books
209,9,8753,I enjoyed these short stories.  They are not as detailed or complex as many of the other stories about Holmes but still a fun read.  The Casebook is a great way to round off and complete the Holmes saga.,books
