,level_0,index,input,label
42,42,6963,"Per Amazon recommendation, I ordered a size 13. OOPS! Too tight. Returned/reordered a pair of 14's. Fit well and I really love them.
They are described as:
  ""Converse Chuck Taylor All Star Lo Top Black Canvas Shoes with Extra Pair of White Laces men's 14 ""
Unfortunately, the Extra pair of laces didn't come the the sneakers.
(Who the heck calls these ""Canvas Shoes"" anyway? They're SNEAKERS or CONS)
Solutions offered:
  1. Return for full refund (Nope, they fit and I like them)
  2. Credit for the price of a pair of Shoe Laces.
I took number 2.

Original Review:
Size Issue. I really believed the recommendation Amazon gave me and so bought a SIZE 13 when my regular size is 14. I returned the 13's and will probably purchase pair of size 14's.

So Amazon recommended a Size 13 and of course the ""product fit"" is ""Too small"" and the width is ""Somewhat narrow"".",clothing
43,43,1592,Product is nice but if you buy it make sure to run to the store and get some safety pins as the tiny patch of Velcro does not stay secure and the whole costume comes forward causing children to trip,clothing
44,44,7751,"Read unisex size carefully, I didn't.",clothing
45,45,4631,"Stylish, comfortable and are a great shoe!",clothing
46,46,201,"Great top, long enough to wear with leggings. A little warm for a hot day but it's very cute and easy to breastfeed in.",clothing
47,47,621,The package came in a very large box but ended up being way too short and very spare. Looks nothing like the product photo.,clothing
48,48,7912,"Great shoes, great fit,casual shoes that are popular and easy to match. They are very comfy even for all day wear. Not for running but casual walk to parks all day will last",clothing
49,49,5463,"Converses run large, and my boyfriend informed me of that. So I instantly got him a size smaller. He usually wears a size 10 and a size 9 fit him perfectly. He refuses to tie the shoe, but the fit and comfort level and the quality of the shoe he says meets the standard you would find from a converse that you'd get from the store. This converse is the older model, they have a newer model on the market now that they sell at Journeys and stores like that. I don't know how to explain the difference but they do look pretty different. my boyfriend loves the older model so he was excited to get these.",clothing
50,50,1167,"Not happy with the material. My daughter hates it. I put it on her and she started sweating and just kept trying to take it off.  Material is cheap, very poor, and a waste of money.",clothing
51,51,1118,"My son still wears this around the house occasionally. He loves this costume. He was a big hit trick or treating last year. It's really breathable, so we didn't worry about him getting overheated in it. The material was very soft and comfortable.",clothing
52,52,6111,Great product,clothing
53,53,6206,I love these i have another pair and these seem pretty authentic.,clothing
54,54,7100,Got them in only a few days. They're exactly what I ordered. They are a little bit snug in the toe but its OK. My old pair stretched out after a little bit of breaking them in. The color is so freaking pretty. I wanted to wear them today but its snowy and rainy today where I live. I didn't want to ruin them already!! I just purchased another pair in a different color too! Definitely worth the order!,clothing
55,55,8044,Love them,clothing
56,56,5033,its very nice,clothing
57,57,3667,"Great shoes, but they arrived with two different-sized laces: one was 45"", the other 54"".  The 45"" lace is too small to be laced all the way & tied.  Will it be possible to send out another 54"" lace?  I'll return the 45"" lace if you want me to.
Thanks,
Karen",clothing
58,58,5758,Love the classic Chuck's!,clothing
59,59,4747,"I wanted these boots for months, normal price $119, I got these for $40 so happy with the boots. Comfy",clothing
60,60,5542,Perfect transaction. Perfect fit,clothing
61,61,9897,"Pro
Light, flat footed

I have not been on any headlines, so, many calls me an amatuer.
However, according to the late and grate Gordon Pirie, running shoes need to be light.
FInd and read his book, which stated that  Many running shoes were designed incorrectly.

Chuck Taylors are designed with simple flat, and light weight features.
Great for running.  Did you know they were the standard at one time for recruits in the US military ?

Converse Chuck Taylor need a little modification, such as an extra insole
R-Gear The Stealth Insole
from roadrunnersports dot com.

And add a little outsole with superglue / crazy glue, or shoe goo, so that the outsoles can be ""refreshed.""
Converse and its corporate owners won't like this.

But to be foot injury free, everyone needs to walk without shoes.
And do your squats.",clothing
62,62,2216,"They're Converse,. They fit well and have the classic look that goes well with everything",clothing
63,63,5148,Great at the gym for squats :-),clothing
64,64,8398,"I love Chucks, they are not an athletic shoe by any means, but are great for casual wear.",clothing
65,65,8447,This was a gift. Can't really give more review besides they were what was expected.,clothing
66,66,1030,E,clothing
67,67,4456,Exactly as described and way cheaper than Finish Line.  My grandson loves them.  Thank you.,clothing
68,68,1561,"I ordered these for my fiance who is a chef and works on his feet all day. He has an old pair and I figured these were the same because they are the same brand. Boy was I wrong. The ""cork"" footbed that it claims supports your arch is solid as a rock and not practical for any type of use. He couldn't imagine how he would even walk in them. In the picture they look different once you try them on. Most of your heel stikcs out and there isn't a lot of coverage. On the description it says these are great for gardening. There is no way you could wear these in the garden without getting your foot dirty or without your foot sliding out. I don't know if these are a new version of the typical Birkenstock or what. The information included in the package is not user friendly and in another language. Definitely not satisfied with these, returning them today.",clothing
69,69,1650,"It is long, so if you are short like me, you will need to take it up quite a bit, otherwise it is a neat costume",clothing
70,70,4881,Great for doing squats at the gym.,clothing
71,71,9379,perfect...,clothing
72,72,4619,"I love Chucks, and they were exactly that.  The only reason I gave 4 out of five is that I think they are just a bit to expensive for a canvas sneaker that really doesn't last that long.",clothing
73,73,5560,Ordered them for my son. Fit just fine,clothing
74,74,8649,"Well,this's it.",clothing
75,75,8635,"DISCLAIMER: For those of you getting Converse shoes for the first time, please go try on a couple of pairs before you purchase. Luckily for me I bought a couple pairs from stores like Ross and gotten pairs from base exchanges. It does help since I hear these things about the different sizing for Converse shoes.

So some may be wondering about the Chucks. They are indeed actual Converse shoes. I picked a pair in blue from Ross a couple months back and the unbleached white ones I received now are the exact same. It's Ross, and they sell name brands. I mean, come on. Anyway, the loop on the tongue is interesting, but that just may be because of where they are made. I have a pair of high tops in grey (also from Ross) that don't have that loop on the tongue. The cream and blue ones I have are made in Vietnam while my grey pair are from Indonesia, BUT the tell signs are there for Chuckie T's. Felt soles, clear badge on the side, bold name inside the shoe and that they feel fantastic to wear. Slight design differences like the tongue loop and the heel logo, but it's still the same overall. Same shoe, different design. I do look forward to getting another pair.",clothing
76,76,2592,Something seems off with these shoes.  They are a Christmas present but they don't look the way I expected.  I will update after Christmas.,clothing
77,77,2243,"I think it is important to always have a pair of these somewhere. If you get the black with white after a few years of wearing they start to get that vintage look, or you can just keep them looking fresh thanks to their mix of canvas and rubber.",clothing
78,78,8943,Great looking shoe but it runs a size to size and a half too big,clothing
79,79,7160,I ordered the wrong size. Although the shoe was comfortable it was just too big. I need to go a half size down.,clothing
80,80,292,"Love this top, especially as a maternity top. Very flattering on any body type. It is a little on the expensive side but worth it if you buy it early on in your pregnancy.  Wearing it as a nursing top also but preferred it has a maternity top.  Wish there were more colors or prints.",clothing
81,81,5196,"I Love my shoes, but apparently so did my teenage daughter because she took them after the first day. She loves them and wears them all the time. I found them in other colors before but she really likes the original colors as these because they go with everything.",clothing
82,82,3094,"The quality is great, arrived in time, fits as expected - love it!",clothing
83,83,2103,Bought the size 13 mens for my Husband for his cousins wedding. They are brand new and look great. The converse box was a bit beat up when it arrived but that doesnt bother me since the shoes were fine and authentic.,clothing
84,84,6985,amazing,clothing
85,85,6951,Got these for my grandson he loved them,clothing
86,86,4873,Child loves these shoes.,clothing
87,87,3033,"It had to be converses for my mom, actually she has 39 euro size, but this shoes a little bit bigger than it have to be.",clothing
88,88,2628,I was very satisfied everything was perfect I would buy from them again and probably will in the future,clothing
89,89,8298,Nice,clothing
90,90,1344,"We were VERY excited to get our buzz wings so my son was heartbroken when they snapped after 20 minutes of wearing them. These are such cheap plastic, when we opened them the color had rubbed off when folded/ packed into weird spots. Then the plastic broke where the elastic band attaches so there's no way to wear them or fix them.",clothing
91,91,3201,Perfect,clothing
92,92,1355,My niece loved them!,clothing
93,93,5250,Love my Cons!,clothing
94,94,5744,I thought the color would be a bit brighter but they ended up being a perfect pink.,clothing
95,95,2874,As expected,clothing
96,96,468,I love this jacket and so does my 4 year old son! It is very soft and he has plenty of room to grow!,clothing
97,97,6035,I purchased these Chucks for my 11 year old son in a mens size 4.5 and they fit perfectly. They are the same awesome shoes I wore back when I was a wee child...it's nice to know that some things in life don't HAVE to change.,clothing
98,98,7791,Cute,clothing
99,99,3515,Love these shoes,clothing
100,100,597,"I rate it a 3 because of the fit.  Very difficult to wear due to the eye holes - actually hurts.  Suspect that's my anatomy, but a ""unisex"" item that's only limited to a small subset of folks seems rather pointless.",clothing
101,101,4359,Not much to say - they're high top chuck taylors. They haven't changed.,clothing
102,102,8373,They're simply great Chucks delivered on time.  Very happy.,clothing
103,103,8911,Fine,clothing
104,104,9454,Fit great! Shipping and delivery was excellent.,clothing
105,105,8613,They look and feel great!,clothing
106,106,8688,"Love these shoes, and they last years!",clothing
107,107,7269,Perfect,clothing
108,108,6973,"Love the converse, always have.  I think people either are or aren't fans and I'm in the are category",clothing
109,109,5546,Looks great and feels perfect,clothing
110,110,5237,My daughter loves these shoes.  She has completely worn them to death and now needs a new pair.,clothing
111,111,8508,I'm currently overseas and these shoes were a gift for someone they arrived in the wrong color with the wrong size.,clothing
112,112,8247,"This is Converse, guys! Awesome!",clothing
113,113,5720,"I wear a 12 1/2 so I bought a 13, had to return them with shipping expense of $12. Purchased a size 12 and they're WWWAAAYYY to big. Considering it'll cost another $12 to return them I'm donating the shoes to Goodwill.",clothing
114,114,7523,Can't go wrong with chucks.,clothing
115,115,1203,"Worked well, did not need constantly re-inflated.",clothing
116,116,1337,"This was not a very expensive toy. The low cost is reason enough to buy it of you've got a Buzz fan in your home. They are inflatable, so it's only as durable as your child is gentle. It's decent sized and seems to hold its shape well. The straps that attach to the arms are a little cheap and could be easily broken, though. For the cost, it's a fun toy.",clothing
117,117,2071,is amazing I didn't  expect a shoes like those!!! To beautiful and fit me perfect,clothing
118,118,7938,Only for looks,clothing
119,119,5291,Got them today! Both shoes in the inside soles were not glue down!!!! I'm going to get them fix cause I can't wait for the return and receive. I read all the comments and I should of stayed away! For the price got them at a local shoe store.,clothing
120,120,6809,Love Them,clothing
121,121,6314,"I'm not a fan, but my husband has been wearing these shoes since childhood. Good price, efficient shipping and order fulfillment.",clothing
122,122,1516,Thank you,clothing
123,123,1448,"I ordered this costume for Halloween. It fit nicely, but I am a woman 5'7"" 134lbs. I'm not sure how this would fit a man!",clothing
124,124,8117,They fit as expected however I would recommend to order half size smaller than what you normally do. It worked for me.,clothing
125,125,3793,excellent product,clothing
126,126,6859,Very cute and comfortable. Looks adorable with capri jeans. Love the color.,clothing
127,127,1594,"I expected the costume to be made of fabric, but it is made of thin material, almost like foam/paper, and does not look durable.  The hat is even thinner (like surgery cap).  It's fine for an evening of trick or treat and for pictures.  My son seems to like it.",clothing
128,128,4888,Perfect fit,clothing
129,129,3509,Good to go,clothing
130,130,2979,As described. Fit fine. Shipped fast!,clothing
131,131,8559,Perfect,clothing
132,132,3370,Can never go wrong with Chucks. I forgot how fantastic they look in white.,clothing
133,133,2412,I love these shoes! They just didn't fit so I had to return them and did not purchase again with the correct size.,clothing
134,134,9660,I accidentally ordered this shoe in a women's size 9.5 and I needed a mens 9.5 so I contacted the seller right after I placed the order explaining what I needed fixed and within 5 minutes I received an email saying my order has been switched to the mens shoe. This shoe is a great shoe. Its my first converse shoe and I love them. Feels like you have nothing on your feet. Lightweight great shoe all in all.,clothing
135,135,6121,"Your standard Chucks. Not very comfy, very narrow, no arch support.",clothing
136,136,2776,Been wearing Converse for 37 years and have never had a pair I didn't love! This color is perfect for so many things because it's a very light olive green. Thanks for staying consistent Converse and not changing a perfect shoe!!!,clothing
137,137,8040,Birthday Gift for pre-teen who Loves them,clothing
138,138,5886,These shoes are just what you would expect!,clothing
139,139,8631,Cute but not comfortable at all!,clothing
140,140,9208,thanks you guys the best!!,clothing
141,141,9703,"Converse speaks for itself - once you start wearing them when you're young, you will wear them forever. Converse is an addiction - the good kind.",clothing
142,142,6550,Good Old Chucks!,clothing
143,143,9958,"I love them. They are comfortable and the color is great. I got an 8.5, I normally wear a 9. The 8.5 fits pretty well, I think I could have gone down to an 8 just fine though. I wear them all the time now and get tons of compliments.",clothing
144,144,5541,These fit exactly as expected. It was as if we went to the shoe store and bought them in person rather than online. Perfect!,clothing
145,145,5448,I forgot to order half a size smaller.,clothing
146,146,2847,Daughter loves them,clothing
147,147,1341,"My son had been looking for a helmet, the plastic ones we had gotten were too small to drop down the face gaurd. This fits well and the gaurd is adjustable, which was a pleasant surprise. Well worth it.",clothing
148,148,8610,"I love converse and if you do too you cant go wroung with this classic low top.
Shipping was quick an had no problems converse are alil big but they have seemed to shrink alil over time. Thanks for reading",clothing
149,149,9388,You either love these shoes or you don't. Product arrived quickly and as described.,clothing
150,150,6438,"Brought back lot's of memories , Still look Cool. The last pair I had was 53 years ago and cost $9.95 (gas was also $0.24 a gallon).",clothing
151,151,4808,"If your daughter/girlfriend/lady/side hoe want a pair of these, get them. They are a staple to every girls outfit.",clothing
152,152,3355,Sad that I haven't tried these before! My first pair and they hold up pretty well!,clothing
153,153,1829,"Great Costume, I had to return because I got a size too big but I will be purchasing the next size down.",clothing
154,154,421,Arrived just as described! Just what we needed!,clothing
155,155,2002,"Fit as expected. Bought for my wife a few months ago. I based the size off the other pairs of ""chucks"" she owns. They were exactly the same. Color almost exactly as pictured. Shipping and all that jazz was fine. - If I buy these Converse through Amazon again, I'll use this seller",clothing
156,156,7864,Exactly what you'd expect. Converse are a classic.,clothing
157,157,8807,Arrived on earliest date. Perfect fit!,clothing
158,158,5257,"My 4 year old has worn converse since she started wearing shoes. These are great because she can manage the straps herself - perfect for school. Just note that if your child wears, say, a 12 in a regular padded sneaker, s/he might be an 11 or 11.5 in converse. Without all the internal padding and cushioning taking up space, they tend to run bigger - more like a dress shoe.",clothing
159,159,716,"I'm 4'10"" and the broom is still really small. The paper wrapped around it at the base to keep the straw in place is weak and will easily come undone.",clothing
160,160,9475,Love,clothing
161,161,5094,Great shoes.,clothing
162,162,2919,"bought them and before I could wear, broke my foot!  Only worn a couple times and fit / feel fine.",clothing
163,163,4224,A tiny bit narrow but I knew that. Very classic tennis shoe.,clothing
164,164,514,The interface is easy to read and the watch is not complicated.  The face of the watch is both thin and not too large which is great because I have small arms.,clothing
165,165,2321,My kid loves them..,clothing
166,166,4434,love them,clothing
167,167,1414,Not sure what I was expecting but it will do.  Doing a retreat with the Oz theme and one of us is dressing as the Tin Man so it will be a nice accent.,clothing
168,168,2777,Love these shoes!,clothing
169,169,4811,"Perfect fit. Cut isn't too loe, able to wear normal ankle socks without it looking funny. Always in style.",clothing
170,170,2903,Fits true to size.,clothing
171,171,6544,These shoes were a gift for my daughter and she loves them.,clothing
172,172,7988,"What can we say? They're Chuck Taylor All-Stars - classic color of Navy High Tops. Shoes don't get any better than this. These are the original version, not the new version with the supposed better arch support, but there is nothing wrong with the originals. We both grew up on them, and this pair was for our teenager. He loves them, which just goes to show teens ARE capable of good judgment - at least when it comes to shoes.

They run about half a size larger than other shoes, and I do wish they would come in half-sizes but they are still so awesome I won't even dock a star for that. Even half size off they still fit without slipping or causing discomfort. These are just the best gall-durned shoes on the planet.",clothing
173,173,9680,"The Healthy Back Bag is a cross between a shoulder bag and a backpack.  I find that it really does relieve stress on my back and even on my shoulder.  Although I wasn't sure if I would like the distressed nylon, it's very attractive, looks a little like canvas, and has a nice feel to it.  Even though this bag is Extra Small, it has plenty of room for what I usually keep in a handbag.  The Healthy Back Bag comes in a series of larger sizes and different fabrics.  I've seen some of them and they're all extremely well made, as is this one.  I highly recommend this bag.",clothing
174,174,7052,"Amazing fit ! I am usually an 8 with converse,  so in men's it's a 6 !",clothing
175,175,2073,The fit is right arrived on time very satisfied,clothing
176,176,4333,"tried it on in the store to make sure I got the right size, ordered online for less and just what i wanted",clothing
177,177,3003,Love my chucks!,clothing
178,178,9415,Awesome!,clothing
179,179,9011,"Been wearing chucks for forty five years , light , cool , and easy to keep clean , I can't think of any reason why I would wear any other athletic shoe",clothing
180,180,5897,Couldn't understand the size chart and got them too big now have no idea how to return them,clothing
181,181,9423,Great,clothing
182,182,2602,Daughter loved them,clothing
183,183,1181,My granddaughter looked so cute in this costume. Pig tails and all! The costume itself was just a little lose on her but the lenght was just perfect. She's 3 year's old but tall for her age. The otther costume had more detail on it but since it's only worn once this one was perfect!,clothing
184,184,1451,"Extremely cheap quality, and therefore way over priced.  Otherwise nice accessory to the Cowardly Lions Costume.",clothing
185,185,2033,Second time is a charm,clothing
186,186,4786,good quality shoe fits nicely.,clothing
187,187,2832,"Fit great, no complaints and they are original chucks",clothing
188,188,7287,"Perfect fit, great price! I found the same shoe in a store but $70!!! Here was only $51! Im super happy!!",clothing
189,189,2529,I just love all the shoes I've ordered,clothing
190,190,1964,"This was a great costume, I got a lot of compliments on it.  I gave it 4 stars instead of 5 because it is too big off the shoulders.  This costume is basically a 'One size fits all' I am on the shorter side  (5'1) and found that it was a bit to wide for me especially at the shoulders but I dealt with it. Over all it was a good costume.",clothing
191,191,1075,"Bought this for my son and he LOVES it. Its comfortable, adjustable to different head sizes, creative and excellent quality. I balked at the price but it's worth every penny. Stands up to rough use. I only wish the huge white ""adjustable"" tag inside was black. Other than that....completely recommend.",clothing
192,192,3642,kids love these,clothing
193,193,9567,These were for my son -- his second pair. He loves them!,clothing
194,194,1648,Seemed used when it arrived. Smell not so great but overall it did the job. Everyone believed I was a nun. =),clothing
195,195,3130,Terrific original sneakers.  We keep ordering because better than any of the knock-offs.,clothing
196,196,8167,These were popular when I was young :),clothing
197,197,2688,My son liked these one 2!!,clothing
198,198,4981,"i have high tops in the same size and they are not as large as these.  otherwise they are comfortable, i put a light insole in for more cushion.",clothing
199,199,3979,"I have 2 other pairs of converse which are the same size that fit perfect, but this new pair is too tight for some reason",clothing
200,200,8725,super,clothing
201,201,7843,Nice shoe,clothing
202,202,3198,They flyyyy. but dirty easy.,clothing
203,203,9402,Love my chucks! I needed a different color-way besides my standard black and white.,clothing
204,204,5480,Classic,clothing
205,205,4658,"I didn't realize that I was suppose to purchase a whole size down, gave them to someone else and now they don't have my size anymore=-(",clothing
206,206,1201,"The wings don't stay inflated very long and the elastic straps are way too big for most anybody (children, adults). We ended up cutting and tying the elastic straps tighter so they would fit our son for his Halloween costume.",clothing
207,207,3569,"They're a titch big, but they're still amazing!",clothing
208,208,5656,The colour was not as yellow as the picture. It is a bit more green. They fit as expected however and very comfortable.,clothing
209,209,5388,Fits a little snug. but nice,clothing
210,210,3554,"I ordered these and they were to big, sent them back on the 10th of April and haven't received a return.",clothing
211,211,1686,Got my money's worth - looks the part - love the head-dress - looks so authentic,clothing
212,212,746,"Generally speaking, this bucket is garbage. It looks like a 1st graders clay ashtray project, but with some tlc it can be made into something awesome. I expected it to be horrible, but for the price it's a great piece for future projects.",clothing
213,213,3626,"I only got one shoe.  Correct size though (mens size).  But it came with scuffs, which shows up on white rubber.",clothing
214,214,179,It fits exactly as expected. Just started using it 2 days back. No issues so far.,clothing
215,215,8872,nice,clothing
216,216,679,"Definitely just a cheap item to get you through Halloween. The ""stick"" is actually like a thick cardboard tube Yes, it's hallow), and the bristles shed. It is only about 4 feet tall, so walking with it was a little awkward.",clothing
217,217,2485,Bought for one of my granddaughters and she absolutely loved them. Size fit her perfect,clothing
218,218,1331,"I ordered the Buzz Lightyear costume and only upon receipt realized that it did not come with a jet pack or other props.  This jet pack is not cheap as other reviewers have stated.  It is only an inflatable; but my son puts it on almost every day (and has since Halloween) and it has yet to break.  He ends up walking into walls and the wings get stuck on furniture as he is walking, but it has held up.  A must have if your child wants to be BUZZ!!",clothing
219,219,6502,Know how they fit and order the size accordingly.,clothing
220,220,9049,Love chucks!,clothing
221,221,2475,My Grandaughter loves these sneakers. They look great with her skinny jeans.,clothing
222,222,15,"A great start to her new series, This one has all the elements I love, passion, intrigue, love, lust, family, and redemption.",clothing
223,223,6597,The description says unisex sizing so we bought 6.5 thinking a size 9 women. It's a 6.5 women. No problem returning but can't reorder since we can't tell what the sizing really is.,clothing
224,224,5278,This shoe was for my granddaughter and she loves it.  It is cushioned inside for a smooth comfy walk.  She wears these to school so has them on all day.,clothing
225,225,1731,"The piece is larger than the original. Does not hold band excess tight enough. Better than nothing, but not same as original.",clothing
226,226,9390,"Not much to say, excellent product. Something I noticed about this pair of shoes is much sliding on wet areas, be careful with that.",clothing
227,227,7595,Great product,clothing
228,228,2421,"Dont buy ,  I can see the glue where the toe part is .. so upset",clothing
229,229,8693,Sk8ing all day makes Eddie a play boy,clothing
230,230,6366,"As the description says, these shoes run a half size large. I bought my normal size just to have a bit of wiggle room to be able to insert a thick insole to make them comfortable enough to wear them to work. Now I'll wear them all the time, I love how they look! :D",clothing
231,231,1151,Perfect addition to my 2 year old son Buzz costume!,clothing
232,232,7494,The really isn't a whole lot to say at this point. There Chuck Taylors! I don't think there was a greater casual shoe ever invented,clothing
233,233,1317,a bit too big for birthday boy (turning 2) - but he loves buzz light year so much it won't matter ;o),clothing
234,234,3769,"A little loose around the heel, but I have narrow feet, so it's to be expected.",clothing
235,235,8028,i like it!!!,clothing
236,236,1070,This is awesome.  My 4 year old loves it and puts on hysterical magic shows...we hide other things insidehat.,clothing
237,237,5637,I got the wrong size,clothing
238,238,3921,"My version of flip flops, nice casual shoe",clothing
239,239,9883,I got these as a gift for my little sister. She had been wanting a pair of these for a really long time. I was so happy to find them here on amazon for the cheapest price ;) She absolutely LOVES these and wears them every day. great deal.,clothing
240,240,4694,looks great on my fly son! i love them! will order next winter again! very durable and easy to clean,clothing
241,241,9279,too large,clothing
242,242,3987,"I returned these.  They did not feel right on my feet.  The tongues in the shoe slipped out of place and one had a crinkle at the base which hurt my foot.  I suspect that these were seconds or irregulars, but I could be wrong.  I tried them on at a Converse store and they felt a lot more comfortable.",clothing
243,243,8962,Too large,clothing
244,244,4839,Great,clothing
245,245,5526,Awesome buying experience!  Will absolutely recommend to other potential buyers!,clothing
246,246,3217,Love em great fit,clothing
247,247,3940,"Great shoes! I get complimented on them all the time good! Great quality, great shoe!",clothing
248,248,4509,"Bought for girl, so used the sizing chart to order the right universal size for woman's size 6.",clothing
249,249,8357,Excelente...,clothing
250,250,7424,"The shoe fits great but the all star writing at the back started fading out after a few uses which I am not sure is normal or this pair of shoe might just not be an original, however it only cost 29 bucks..",clothing
251,251,6845,"These were purchased for my teenage daughter. She wears them with skirts, shorts, and jeans - they go with anything! The fit is good, but I withhold one star for the lack of cushioning- there is very little ""give"" so these are not the best shoes for all day walking.",clothing
252,252,1932,"super costume, easy to wear and comfortable",clothing
253,253,8813,Exactly as described. Priced affordable and excellent quality. Shipping was fast despite the inclement weather.,clothing
254,254,4006,Granddaughter loved them!,clothing
255,255,9581,"The shoes not only fit nicely, but they're quite comfortable.",clothing
256,256,9443,"I loved the look of this shoe right off the bat. To casually walk around, they're quite comfortable too. They look go good with a bunch of outfits. Great buy:)",clothing
257,257,6100,I love these shoes. I wore them to my trip to NYC to walk in and my feet did hurt. I wouldn't wear them all day for walking shoes but they were worth it because they looked great on my feet!,clothing
258,258,8370,Converse is the winner. The classic look of this shoe is what I was looking for. They fit great and look good too.,clothing
